id,source,source_type,P_melt_GPa,F_melt,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,H2O,melt_style,include_in_regression,notes
k97_grid_P1_F0.02,Kinzler_1997_calculated,pyrolite_depleted,1.0,0.02,51.51,1.51,25.01,0.0,3.68,4.3,8.39,4.51,0.73,0.28,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1_F0.05,Kinzler_1997_calculated,pyrolite_depleted,1.0,0.05,50.71,1.32,23.8,0.0,4.68,5.99,9.35,3.42,0.43,0.19,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1_F0.08,Kinzler_1997_calculated,pyrolite_depleted,1.0,0.08,50.36,1.16,22.71,0.0,5.34,7.15,9.98,2.72,0.3,0.14,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1_F0.1,Kinzler_1997_calculated,pyrolite_depleted,1.0,0.1,50.22,1.07,22.05,0.0,5.69,7.77,10.3,2.39,0.25,0.12,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1_F0.15,Kinzler_1997_calculated,pyrolite_depleted,1.0,0.15,49.91,0.89,20.17,0.04,6.59,9.25,10.95,1.78,0.17,0.08,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1_F0.2,Kinzler_1997_calculated,pyrolite_depleted,1.0,0.2,49.58,0.74,17.86,0.11,7.6,10.84,11.5,1.38,0.12,0.06,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1.5_F0.02,Kinzler_1997_calculated,pyrolite_depleted,1.5,0.02,48.77,1.51,19.75,0.0,6.89,8.73,9.58,3.58,0.73,0.29,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1.5_F0.05,Kinzler_1997_calculated,pyrolite_depleted,1.5,0.05,48.39,1.28,18.56,0.03,7.62,10.16,10.15,2.99,0.43,0.2,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1.5_F0.08,Kinzler_1997_calculated,pyrolite_depleted,1.5,0.08,48.19,1.11,17.44,0.07,8.18,11.22,10.58,2.55,0.3,0.15,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1.5_F0.1,Kinzler_1997_calculated,pyrolite_depleted,1.5,0.1,48.09,1.02,16.75,0.09,8.51,11.81,10.82,2.31,0.25,0.13,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1.5_F0.15,Kinzler_1997_calculated,pyrolite_depleted,1.5,0.15,47.85,0.83,15.01,0.15,9.32,13.18,11.32,1.86,0.17,0.09,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P1.5_F0.2,Kinzler_1997_calculated,pyrolite_depleted,1.5,0.2,47.45,0.67,12.33,0.24,10.51,15.02,11.88,1.45,0.12,0.07,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2_F0.02,Kinzler_1997_calculated,pyrolite_depleted,2.0,0.02,47.13,1.59,15.95,0.06,9.02,12.1,9.93,2.97,0.73,0.29,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2_F0.05,Kinzler_1997_calculated,pyrolite_depleted,2.0,0.05,47.03,1.32,15.52,0.08,9.37,12.94,10.24,2.64,0.43,0.2,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2_F0.08,Kinzler_1997_calculated,pyrolite_depleted,2.0,0.08,47.01,1.11,15.1,0.1,9.62,13.52,10.47,2.37,0.3,0.15,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2_F0.1,Kinzler_1997_calculated,pyrolite_depleted,2.0,0.1,47.0,1.01,14.83,0.12,9.77,13.83,10.6,2.22,0.25,0.13,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2_F0.15,Kinzler_1997_calculated,pyrolite_depleted,2.0,0.15,46.99,0.8,14.23,0.14,10.08,14.46,10.87,1.91,0.17,0.09,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2_F0.2,Kinzler_1997_calculated,pyrolite_depleted,2.0,0.2,46.66,0.64,11.85,0.21,11.14,16.14,11.36,1.51,0.12,0.07,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2.5_F0.02,Kinzler_1997_calculated,pyrolite_depleted,2.5,0.02,46.03,1.72,12.82,0.12,10.68,14.93,9.85,2.55,0.73,0.29,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2.5_F0.05,Kinzler_1997_calculated,pyrolite_depleted,2.5,0.05,46.09,1.35,12.83,0.13,10.86,15.44,9.99,2.4,0.43,0.2,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2.5_F0.08,Kinzler_1997_calculated,pyrolite_depleted,2.5,0.08,46.19,1.1,12.83,0.14,10.94,15.7,10.1,2.28,0.3,0.15,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2.5_F0.1,Kinzler_1997_calculated,pyrolite_depleted,2.5,0.1,46.24,0.97,12.85,0.14,10.97,15.82,10.15,2.2,0.25,0.13,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2.5_F0.15,Kinzler_1997_calculated,pyrolite_depleted,2.5,0.15,46.28,0.75,12.39,0.16,11.22,16.35,10.35,1.97,0.17,0.09,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P2.5_F0.2,Kinzler_1997_calculated,pyrolite_depleted,2.5,0.2,46.04,0.59,10.49,0.22,12.07,17.75,10.77,1.57,0.12,0.07,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P3_F0.02,Kinzler_1997_calculated,pyrolite_depleted,3.0,0.02,45.36,1.86,10.7,0.15,11.83,17.09,9.43,2.27,0.73,0.29,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P3_F0.05,Kinzler_1997_calculated,pyrolite_depleted,3.0,0.05,45.55,1.39,10.96,0.15,11.91,17.42,9.5,2.19,0.43,0.2,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P3_F0.08,Kinzler_1997_calculated,pyrolite_depleted,3.0,0.08,45.72,1.1,11.24,0.15,11.88,17.5,9.54,2.11,0.3,0.15,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P3_F0.1,Kinzler_1997_calculated,pyrolite_depleted,3.0,0.1,45.83,0.96,11.46,0.14,11.82,17.48,9.55,2.07,0.25,0.13,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P3_F0.15,Kinzler_1997_calculated,pyrolite_depleted,3.0,0.15,45.99,0.71,11.6,0.15,11.82,17.62,9.65,1.9,0.17,0.09,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
k97_grid_P3_F0.2,Kinzler_1997_calculated,pyrolite_depleted,3.0,0.2,45.85,0.56,10.18,0.19,12.46,18.72,9.99,1.53,0.12,0.07,0,calculated,TRUE,Kinzler (1997) isobaric batch melt HZ-Dep1; kinzler1997_batch.py
